galaxy,QSO,zgal,Vhelio [km/s],MBH,sigMBH,M*,Mhalo,SFR,vrel,Rproj,Rvir,Rproj/Rvir,line,wav,zsys,N,sigN,b,sigb,vel,sigvel,comp,uplim
NGC3489,J1101,0.002258,676.9,6.77,0.065,10.2,11.782755,-0.967,10.75118882,110.01914,273.43553,0.4023586108,SiIV,1393.7602,0.00223,12.54,0.05,0,0,0,0,1,0
NGC4026,J1159,0.003286,985.1,8.255,0.125,10.43,11.964435,-1.767,13.64109441,37.38524,314.35077,0.1189284187,SiIV,1393.7602,0,13.221,0.153,0,0,0,0,2,1
NGC4026,J1159,0.003286,985.1,8.255,0.125,10.43,11.964435,-1.767,13.64109441,37.38524,314.35077,0.1189284187,SiIV,1393.7602,0.00291,12.731,0.124,20,10.033,-3.131,6.007,0,1
NGC4026,J1159,0.003286,985.1,8.255,0.125,10.43,11.964435,-1.767,13.64109441,37.38524,314.35077,0.1189284187,SiIV,1393.7602,0.00334,13.051,0.089,53.3,14.7,-4.44,9.63,0,1
NGC4258,J1220,0.001494,461.08,7.577,0.03,10.88,12.522479,-0.08,0,69.778997,482.42196,0.1446430776,SiIV,1393.7602,0.001494,12.86,0.05,0,0,0,0,1,0
NGC4258,J1222,0.001494,461.08,7.577,0.03,10.88,12.522479,-0.08,0,130.30566,482.42196,0.2701072314,SiIV,1393.7602,0.001494,12.7,0.05,0,0,0,0,1,0
NGC4736,J1249,0.001027,307.8,6.83,0.123,10.62,12.154667,-0.061,166.6477008,25.520224,363.76792,0.07015523524,SiIV,1393.7602,0.00051,12.55,0.05,0,0,0,0,1,0
NGC3414,J1051,0.0049,1469.8,8.4,0.071,10.79,12.377581,-1.047,150.5463798,40.49914,431.64653,0.09382477834,SiIV,1393.7602,0,13.651,0.076,0,0,0,0,2,1
NGC3414,J1051,0.0049,1469.8,8.4,0.071,10.79,12.377581,-1.047,150.5463798,40.49914,431.64653,0.09382477834,SiIV,1393.7602,0.00415,13.11,0.068,17.8,4.745,6.094,2.99,0,1
NGC3414,J1051,0.0049,1469.8,8.4,0.071,10.79,12.377581,-1.047,150.5463798,40.49914,431.64653,0.09382477834,SiIV,1393.7602,0.00448,13.504,0.035,35.298,4.077,-9.39,2.637,0,1
NGC3627,J1123,0.00243,721,6.92,0.048,10.84,12.455645,0.536,117.0315866,119.976,458.29968,0.2617850399,SiIV,1393.7602,0.00275,12.83,0.05,0,0,0,0,1,0
NGC1097,J0246,0.00424,1271.1,8.14,0.09,10.5,12.02902,0.766,24.20584916,55.657239,330.32571,0.1684919984,SiIV,1393.7602,0.00422,13.09,0.05,0,0,0,0,1,0
NGC4564,J1235,0.003809,1141.9,7.94,0.145,10.4,11.938382,-1.988,0,123.0785,308.12739,0.3994403094,SiIV,1393.7602,0.003809,12.68,0.05,0,0,0,0,1,0